series number,series title,series dates,subseries number,subseries title,subseries dates,file id,file title,file dates,extent,physdesc,internal only,restrictions,conditions governing access,scopecontent,note1,note2,instance type,container 1 type,container 1 number,container 2 type,container 2 number,container 3 type,container 3 number,geogname,geogname_source,corpname,corpname_source,famname,famname_source,name,name_source,persname,persname_source,subject,subject_source
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.003,Biographical History Files,1893-1956,,Biographical Profile,1893-1956,,,,,,"Includes a newspaper obituary of Dr. Abram Winegarden Harris (1935), facsimile biographical sketches of Harris from various sources including the History of the University of Maine by M.C. Fernald (1916), biographical sketch of Thomas Pollock Anchutz who painted the portrait of Harris which hangs in Fogler Library, reference from Henry Hill Goodell (acting president of Massachusetts Agriculture College) to Henry Lord (president of the board of trustees) recommending Harris for president, minutes and resolution from University of Maine Board of Trustees conferring the degree of Doctor of Laws upon Harris and also acceptance of his resignation (1901). Also, includes biographical information about A.W. Harris Dr. Abram Winegarden Harris� son (1917), profile of the Maine State College (1896), a letter from Harris (1898) regarding the president�s salary, an invitation from the Maine State College Faculty for a reception tendered to Harris (1893), and Harris� commission as postmaster of the State College (1896). ",,,Mixed materials,Box,1,Folder,6,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.004,Records Of President George Emory Fellows [Term 1902-1910],1901-1970,UA RG 0003.001.004.001,Correspondence,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.004,Records Of President George Emory Fellows [Term 1902-1910],1901-1970,UA RG 0003.001.004.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.004,Records Of President George Emory Fellows [Term 1902-1910],1901-1970,UA RG 0003.001.004.003,Biographical History Files,1901-1970,,Biographical Profile,1901-1970,,,,,,"Includes: biographical sketches of Fellows including from the Carnegie Foundation (1941-1942), details of Trustee�s resolution commemorating the services of Fellows (1942), correspondence between Fellows and University of Maine President Harold Sherburne Boardman, details from the University of Maine Trustees� minutes regarding the recommendation of Fellows for president (1901), correspondence regarding Fellows� portrait (1926-1970), details of genealogical research into Fellow�s family, University of Maine Trustees� minutes regarding Fellows resignation (1910-12), and Fellows� obituary (1942).",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.004,Records Of President George Emory Fellows [Term 1902-1910],1901-1970,UA RG 0003.001.004.003,Biographical History Files,1901-1970,,Addresses,1905-1907,,,,,,"Fellows� address on the subject of the expiration of the State appropriation (1906), and addresses on the subject of financial support for the University before the State of Maine Committee on Education (1907) and Legislative Committee (1905).",,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.004,Records Of President George Emory Fellows [Term 1902-1910],1901-1970,UA RG 0003.001.004.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.005,Records Of President Robert Judson Aley [Term 1911-1921],1910-1936,UA RG 0003.001.005.001,Correspondence,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.005,Records Of President Robert Judson Aley [Term 1911-1921],1910-1936,UA RG 0003.001.005.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.005,Records Of President Robert Judson Aley [Term 1911-1921],1910-1936,UA RG 0003.001.005.003,Biographical History Files,1910-1936,,Biographical Notes ,1910-1936,,,,,,"Includes: Trustee�s Board Meeting Minutes documenting Aley�s appointment (1910) and resignation as president (1921) and conferring of honorary degree (1928) which was never actually conferred, Aley�s resignation letter (1921), details of the presentation of Aley�s portrait (1936), correspondence between Aley�s son Maxwell Aley and University of Maine President Arthur Andrew Hauck regarding Aley�s death and portrait, income tax returns for Aley (1914), The Maine Campus article on then president elect Aley joining the faculty (1910), obituaries for Aley, and biographical sketches. ",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.005,Records Of President Robert Judson Aley [Term 1911-1921],1910-1936,UA RG 0003.001.005.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.006,Records Of President Clarence Cook Little [Term 1922-1925],1922-1972,UA RG 0003.001.006.001,Correspondence,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.006,Records Of President Clarence Cook Little [Term 1922-1925],1922-1972,UA RG 0003.001.006.002,Subject Files,1923-1925,,Freshman Week ,1923-1925,,,,,,"Includes: results of psychological tests of freshman students (1924), details of the first freshman week at the University of Maine, including explanatory letter to parents and library instruction (1923-1925).",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.006,Records Of President Clarence Cook Little [Term 1922-1925],1922-1972,UA RG 0003.001.006.003,Biographical History Files,1922-1972,,Biographical Profile ,1922-1972,,,,,,"Includes: curriculum vitae for Little, speeches and articles by and on Little: university admissions; cooperation between secondary schools and the University of Maine; raises in appropriations for the University; experimentations; women and education; relationship between State of Maine and the University; intercollege athletics; and the duties and responsibilities of a state university (1922-1925), recommendations of Little in relation to teaching and research in agriculture (1925), details of Little�s attendance at various miscellaneous events, biographical sketches of Little, details of Little�s resignation (1925), honorary degrees conferred to Little by the University of Maine (1932) and Marietta College (1952), details of Little�s inauguration (1922), portrait presentation (1951), dedication of Little Hall (1965) in his honor, and founding of The Jackson Laboratory (1929-1972), including the awarding of the Guggenheim Fellowship for his studies into cancer.",,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.006,Records Of President Clarence Cook Little [Term 1922-1925],1922-1972,UA RG 0003.001.006.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.007,Records Of President Harold Sherburne Boardman [Term 1926-1934],1901-1969,UA RG 0003.001.007.001,Correspondence,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.007,Records Of President Harold Sherburne Boardman [Term 1926-1934],1901-1969,UA RG 0003.001.007.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.007,Records Of President Harold Sherburne Boardman [Term 1926-1934],1901-1969,UA RG 0003.001.007.003,Biographical History Files,1901-1969,,Biographical Notes,1901-1969,,,,,,"Includes: various newspaper articles on Boardman, including details of his resignation as president (1934), portrait unveiling (1946), his wife Nellie Francis Boardman�s death (1966), and his death (1969), details of Boardman�s inauguration, curriculum vitae, biographical sketches, his attendance at various University of Maine functions, his thoughts on the Experiment Station (1926), Board of Trustee�s votes on Boardman�s appointment as Instructor in Civil Engineering (1901), pension (1937), and resolution on his death (1969), also Boardman�s resignation to the Board (1933), Boardman�s presidential address at the Society of the Promotion of Engineering Education (1931), and Maine Alumnus (1965) and Maine Bulletin (1964) profiles of Boardman.",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.007,Records Of President Harold Sherburne Boardman [Term 1926-1934],1901-1969,UA RG 0003.001.007.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Alumni And Faculty Correspondence,1934-1983,,,,,,"Correspondence between Hauck and various University of Maine alumni and faculty, but particularly Payton Smith on a range of subjects, including class reunions, visits, commencements, gifts from Hauck to the University of Maine, and Hauck�s retirement.",,,Mixed materials,Box,2,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Board Of Trustees Correspondence,1944-1961,,,,,,Correspondence between Hauck and University of Maine Board of Trustees on a range of subjects.,,,Mixed materials,Box,2,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Faculty And Staff Correspondence,1937-1958,,,,,,"Correspondence between Hauck and various faculty and staff on a range of subjects. Includes copy of �The University and the State� by W.S. Evans, Dean Emeritus and correspondence with Arthur Deering on his service at the University of Maine.",,,Mixed materials,Box,2,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Correspondence�Office Of The President ,1954-1955,,,,,,"Correspondence between Hauck and various individuals on a range of subjects related to the University of Maine including: visits to the University of Maine, University, staff appointments, planning for University events and meetings, publicity regarding the University of Maine, Board of Trustees actions, and property management.",,,Mixed materials,Box,3,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Correspondence�Office Of The President ,1955-1956,,,,,,"Correspondence between Hauck and various individuals on a range of subjects related to the University of Maine including: visits to the University of Maine, University, staff appointments, planning for University events and meetings, publicity regarding the University of Maine, Board of Trustees actions, and property management.",,,Mixed materials,Box,3,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Correspondence�Office Of The President ,1955-1956,,,,,,"Correspondence between Hauck and various individuals on a range of subjects related to the University of Maine including: visits to the University of Maine, University, staff appointments, planning for University events and meetings, publicity regarding the University of Maine, Board of Trustees actions, and property management.",,,Mixed materials,Box,3,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Correspondence�Office Of The President ,1956-1957,,,,,,"Correspondence between Hauck and various individuals on a range of subjects related to the University of Maine including: visits to the University of Maine, University, staff appointments, planning for University events and meetings, publicity regarding the University of Maine, Board of Trustees actions, and property management.",,,Mixed materials,Box,3,Folder,4,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.001,Correspondence,1934-1983,,Correspondence�Office Of The President ,1957-1958,,,,,,"Correspondence between Hauck and various individuals on a range of subjects related to the University of Maine including: visits to the University of Maine, University, staff appointments, planning for University events and meetings, publicity regarding the University of Maine, Board of Trustees actions, and property management.",,,Mixed materials,Box,3,Folder,5,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.002,Subject Files,1943-1954,,Grants,1954,,,,,,Details of the University of Maine�s grant from the National Science Foundation for the support of research �Moisture Content and the Density of Granular Solis�.,,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.002,Subject Files,1943-1954,,Memorial Services,1943-1948,,,,,,"Testimonials and speeches from memorial service for students and alumni killed during World War Two (1943-1948). Also, details of memorial service for Franklin D. Roosevelt (1945). ",,,Mixed materials,Box,2,Folder,4,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.002,Subject Files,1943-1954,,Canada,1932-1948,,,,,,"Various items on the subject of Canada, including education and Canadian-United States relations (1932-1948). Including publication by Hauck titled �Some Educational Factors Affecting the Relations between Canada and the United States� (1932).",,,Mixed materials,Box,2,Folder,5,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Celebrations & Awards,1944-1963,,,,,,"Details of the celebration of Hauck�s completion of 5 and 10 years of service at the University of Maine and the establishment of the Arthur A. Hauck Fund (1944), and celebrations of his 15 and 20 years of service as part of Maine Day (1949 & 1954), Hauck being awarded the Black Bear award (1950), President Emeritus Convocation held for Hauck (1958), student tribute to Hauck (1958), and the tribute of an Auditorium being named after Hauck (1963).",,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Confidential,1958,,,,,,Press release announcing Hauck�s decision to not become a candidate for nomination for the office of the Governor (of Maine) in the Republican primary (1958).,,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Biographical Profile,1934-1996,,,,,,"Biographical profile, includes recommendations for Hauck to be University of Maine president and correspondence between Hauck and then President Harold Sherburne Boardman (1934) on Hauck�s move from Lafayette College to the University of Maine, inauguration program (1934), details of the presentation of the portrait of Hauck (1965) and notes on its transfer to Fogler Library, details of his retirement (1958), details of Hauck�s time as Executive Director of the Washington International Center, including his resignation from the post (1958-64), biographical data, genealogical research into Hauck�s family, obituaries for Hauck (1992), and printed OCLC FirstSearch search result for Hauck�s PH.D (1996).",,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Photographs,,,,,,,"Various photographs of Hauck, some with his wife Gladys.",,,Mixed materials,Box,1,Folder,5,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Honors,1943-1957,,,,,,"Details of various honors bestowed on Hauck, includes: honorary degree at the Rhode Island State College (1943), membership of The Jackson Laboratory Association of the Roscoe B. Jackson Memorial Laboratory (1950), Veterans of Foreign Wars citation (1957), Doctor of Letters from Colby College (1953), and Director of Laws from the University of Kentucky (1953).",,,Mixed materials,Box,1,Folder,6,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Newspaper And Magazine Articles,1941-1963,,,,,,"Various articles on Hauck, including his time in war-time England (1943) from The Maine Alumnus, details of various speaking engagements, board appointments, profiles, opinion pieces, awards and University events (1941-1958). Also, a The Maine Campus special edition on Hauck�s retirement (1958) and articles on Hauck�s work at the Washington International Center (1963).",,,Mixed materials,Box,1,Folder,7,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Statements & Articles,1940-1958,,,,,,"Statements and articles written by Hauck on a range of subjects, including: University of Maine student�s attitudes to war (1940), intercollege sports (1941-1947), welcomes to new classes (1940-1956) including the Brunswick Campus (1948), best wishes to students serving in World War Two (1943), Hauck�s thoughts on the effect of war on education (1944), details of the return of veterans to the University of Maine (1945-1946) and appropriations from the State of Maine (1945), correspondence and publications regarding the importance of the Maine Federation of Music Clubs (1948) and the potato industry of Maine (1949-1950), Prism updates on University of Maine activities, and various local newspaper articles by Hauck and interviews with him on the University�s activities (1948-1958).",,,Mixed materials,Box,1,Folder,8,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Addresses,1941-1963,,,,,,"Various notes from and publication of addresses by Hauck. Including on the: Maine University and The Land-Grant Tradition (1954) and Punahou Living Endowment (1941) where Hauck previously worked, to the freshman class (1956), on economic development (1957), merger of the University of Maine with the Portland Junior College (1957), addresses at various academic institutions (1953-1957), alumni meetings (1950-1953), commencement (1943), and the dedications of Memorial Union (1953) and Estabrooke Hall (1963).",,,Mixed materials,Box,1,Folder,9,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Newspaper Clippings,1934-1964,,,,,,"Newspaper clipping relating to Hauck, including his appointment as president (1934) and tributes on retirement (1957), decision not to run for senate or governor (1951), appointment as president of the Association of Land Grant Associations (1952), and retirement as head of the Washington International Center (1964).",,,Mixed materials,Box,2,Folder,6,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Awards And Tributes,1939-1983,,,,,,"Awards and tributes, includes: �Tribute to Dr. Hauck on his Fifth Anniversary As President of the University of Maine� (1939) and �An Affectionate Tribute to President & Mrs. Hauck from Maine Alumni� (1954), The Maine Alumnus tributes (1944-1957), photographs and correspondence regarding 20th anniversary celebration (1954), publications regarding dedication of Hauck Auditorium (1963), and a letter from Dwight D. Eisenhower to Hauck thanking him for his time as a Member of the U.S. Advisory Committee on Educational Exchange� (1958), and a 90th birthday greetings from the University of Maine to Hauck (1983).",,,Mixed materials,Box,2,Folder,7a,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Awards And Tributes,1939-1983,,,,,,"Awards and tributes, includes: �Tribute to Dr. Hauck on his Fifth Anniversary As President of the University of Maine� (1939) and �An Affectionate Tribute to President & Mrs. Hauck from Maine Alumni� (1954), The Maine Alumnu tributes (1944-1957), photographs and correspondence regarding 20th anniversary celebration (1954), publications regarding dedication of Hauck Auditorium (1963), and a letter from Dwight D. Eisenhower to Hauck thanking him for his time as a Member of the U.S. Advisory Committee on Educational Exchange� (1958), and a 90th birthday greetings from the University of Maine to Hauck (1983).",,,Mixed materials,Box,2,Folder,7b,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Addresses,1944-1966,,,,,,"Various speeches by Hauck, including: on his tenure at the University of Maine (1964), remarks at Bowdoin College�s 150th anniversary (1944),University of Kentucky commencement (1953), Rockland High School (1966), �Maine�s University and The Land-Grant Tradition� (1954), University of Florida (1953), Literary Society (1963), The Land-Grant Colleges and The Common Good (1953), �Regional Cooperation in New England� (1951), Eastern College Personnel Officers (1957) and Nasson College commencement (1952).",,,Mixed materials,Box,2,Folder,8,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Guest Book,1927-1937,,,,,,Guest book.,,,Mixed materials,Box,2,Folder,9,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Reed College,1915-1946,,,,,,"Various items relating to Reed College, including Annual (1915), publication from Reed College Class of 1915 61st Anniversary, and correspondence regarding Hauck�s attendance at Reed College commencement (1939 & 1946).",,,Mixed materials,Box,2,Folder,10,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Maine Alumnus,1944-1969,,,,,,Copies of the University of Maine�s Maine Alumnus publication (1944-1969).,,,Mixed materials,Box,2,Folder,11,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Politics,1930-1980,,,,,,"Various miscellaneous items relating to the subject of politics, including: correspondence with The White House (1958), and details of Hauck�s decision not to run as a candidate for the U.S. senate (1948-1952) and governor (1958) of Maine, includes correspondence with various supporters. Also, letters from Franklin D. Roosevelt to Hauck and Edmund Muskie in response to their reappointments as New York Governor (1930) and Secretary of State (1980) respectively.",,,Mixed materials,Box,2,Folder,12,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Honorary Degrees,1936-1947,,,,,,"Details of various honorary degrees bestowed on Hauck. Including: Lafayette College (1936), Rhode Island State College (1943), University of Maine (1958), Bowdoin College (1947), Reed College (1946), and the University of New Brunswick (1943).",,,Mixed materials,Box,2,Folder,13,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Washington International Center,1958-1968,,,,,,"Various miscellaneous items relating to Hauck�s tenure as head of the Washington International Center, including newspaper clippings from Hauck�s international trips, correspondence, and Washington International Center publications.",,,Mixed materials,Box,2,Folder,14,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Retirement,1957-1958,,,,,,Newspaper clippings and correspondence regarding Hauck�s retirement from the University of Maine.,,,Mixed materials,Box,2,Folder,15,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Inauguration,1934,,,,,,"Details of Hauck�s departure from Lafayette College to become president of the University of Maine (1934), includes newspaper clippings and correspondence regarding Hauck�s appointment, inauguration program (1934) and The Maine Bulletin edition on the inauguration (1934).",,,Mixed materials,Box,2,Folder,16,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Auditorium,1961-1963,,,,,,Correspondence and publicity material regarding the Arthur A. Hauck Auditorium.,,,Mixed materials,Box,2,Folder,17,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Vassar College,1929-1930,,,,,,Details of Hauck�s appointment at Vassar College (1929) and departure from Vassar to Lafayette College (1930).,,,Mixed materials,Box,2,Folder,18,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Job Offers,1931-1949,,,,,,"Details of job offers Hauck received from The University of California (1949), Institute of International Education (1938), Syracuse University (1942-1943), Institute of International Education (1931), and Reed College (1949).",,,Mixed materials,Box,2,Folder,19,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.003,Biographical History Files,1934-1992,,Committees,1954-1965,,,,,,Various items relating to Hauck�s time on The U.S. Advisory Commission on Educational Exchange (1954-1958) and Advisory Committee on Vocational Rehabilitation and Education (1955-1965) and potential appointment as U.S. Cultural Advisor in Tokyo (1958).,,,Mixed materials,Box,2,Folder,20,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.004,Administrative Files,1941-1979,,Committees,1957-1959,,,,,,"Includes: details of the hearing on the State of Maine bill which would transfer the assets of Portland Junior College to the University of Maine (1957-1959), financial assistance to University students (1957) and appropriations for building projects (1957) including for: chemistry laboratory and chemical engineering equipment; men�s dining hall; animal pathology; physics building, steam line extension; milk house; University Press; service building; and auditorium.",,,Mixed materials,Box,1,Folder,10,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.004,Administrative Files,1941-1979,,Alumni Association,1943-1983,,,,,,"Various miscellaneous items regarding the University of Maine Alumni Association. Includes: deposit activity for the Alumni Activities Fund (1944-1949), various correspondence between Hauck and John Sealey, Jr. and Charles E. Crossland Executive Secretaries of the Alumni Association regarding achievements of alumni (1950), use of alumni funds, arrangements for Alumni Association meetings, appointment of state alumni representatives (1945-1950), scholarships, gifts, salaries of Alumni Association personnel, and reports on missing in action and deaths of alumni (1943-1946). Also, includes: correspondence with Howard Kayo University of Maine Publicity Director regarding commencement and publicity (1954-1956), financial information for the Arthur A. Hauck Fund (1944), contributors to the Fund, tributes to Hauck�s service at the University, and gifts from Hauck to the Annual Alumni Fund (1979-1983).",,,Mixed materials,Box,1,Folder,11,,,,,,,,,,,,,,
UA RG 0003.001.008,Records Of President Arthur Andrew Hauck [Term 1934-1958],1934-1996,UA RG 0003.001.008.004,Administrative Files,1941-1979,,Budget Management,1954-1959,,,,,,"Details of State of Maine appropriations (1956-1957), budget income and expenditure (1954-1959), and analysis of increased expenditure.",,,Mixed materials,Box,1,Folder,12,,,,,,,,,,,,,,
UA RG 0003.001.009,Records Of President Lloyd Hartman Elliot [Term 1958-1965],1951-1974,UA RG 0003.001.009.001,Correspondence,1958-1965,,Dean Evans,1962-1963,,,,,,Correspondence between Elliot and Dean Emeritus Weston S. Evans regarding Evan�s retirement. ,,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.009,Records Of President Lloyd Hartman Elliot [Term 1958-1965],1951-1974,UA RG 0003.001.009.001,Correspondence,1958-1965,,Vincent A. Hartgen,1963-1964,,,,,,"Correspondence between Elliot and Vincent A. Hartgen, University of Maine Professor Department of Art and Maurice J. Stein regarding Stein�s portrait of Hartgen. ",,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.009,Records Of President Lloyd Hartman Elliot [Term 1958-1965],1951-1974,UA RG 0003.001.009.001,Correspondence,1958-1965,,Miscellaneous Correspondence,1958-1963,,,,,,"Correspondence between Elliot and various individuals on a range of subjects, including: membership of Alumni Association, establishment of a collegiate band association, studies into the work of a president, articles on higher education, faculty hires, Paul A. Miller�s appointment as President of West Virginia University, and sponsor of  The Atlantic Council. ",,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.009,Records Of President Lloyd Hartman Elliot [Term 1958-1965],1951-1974,UA RG 0003.001.009.001,Correspondence,1958-1965,,Correspondence�Office Of The President A-G,1958-1959,,,,,,"Correspondence between Elliot and various individuals on a range of subjects affecting the University of Maine arranged chronologically by year of creation and secondly alphabetically by last name of the correspondent. Includes: alumni events, visits to the Orono campus, University of Maine events and celebrations, publications, publicity, issues affecting academia, presentations, student admissions, financial aid, Board of Trustees affairs, and staffing. ",,,Mixed materials,Box,3,Folder,6,,,,,,,,,,,,,,
UA RG 0003.001.009,Records Of President Lloyd Hartman Elliot [Term 1958-1965],1951-1974,UA RG 0003.001.009.001,Correspondence,1958-1965,,Correspondence�Office Of The President H-Z,1958-1959,,,,,,"Correspondence between Elliot and various individuals on a range of subjects affecting the University of Maine arranged chronologically by year of creation and secondly alphabetically by last name of the correspondent. Includes: alumni events, visits to the Orono campus, University of Maine events and celebrations, publications, publicity, issues affecting academia, presentations, student admissions, financial aid, Board of Trustees affairs, and staffing. ",,,Mixed materials,Box,3,Folder,7,,,,,,,,,,,,,,
